Gene	Module	kME
505	P1_I9_M1	0.97
506	P1_I9_M2	0.92
507	P1_I9_M3	0.85
508	P1_I9_M1	0.87
509	UNCLASSIFIED	NA
510	P1_I9_M6	0.9
511	P1_I9_M6	0.86
512	UNCLASSIFIED	NA
513	P1_I9_M1	0.97
514	UNCLASSIFIED	NA
515	UNCLASSIFIED	NA
516	P1_I9_M2	0.97
517	UNCLASSIFIED	NA
518	P1_I9_M2	0.99
519	UNCLASSIFIED	NA
520	P1_I9_M2	0.93
521	P1_I9_M1	0.98
522	UNCLASSIFIED	NA
523	UNCLASSIFIED	NA
524	P1_I9_M2	0.93
525	P1_I9_M1	0.94
526	P1_I9_M2	0.94
527	P2_I6_M5	0.92
528	P1_I9_M2	0.91
529	P3_I5_M1	0.87
530	P2_I6_M6	0.94
531	UNCLASSIFIED	NA
532	P1_I9_M2	0.92
533	P1_I9_M1	0.94
534	P1_I9_M2	0.88
535	P1_I9_M1	0.82
536	UNCLASSIFIED	NA
537	UNCLASSIFIED	NA
538	P1_I9_M5	0.91
539	UNCLASSIFIED	NA
540	P1_I9_M3	0.82
541	UNCLASSIFIED	NA
542	P1_I9_M5	0.89
543	UNCLASSIFIED	NA
544	UNCLASSIFIED	NA
545	P1_I9_M1	0.98
546	P1_I9_M1	0.99
547	UNCLASSIFIED	NA
548	UNCLASSIFIED	NA
549	P3_I5_M3	0.84
550	P2_I6_M9	0.87
551	P1_I9_M1	0.94
552	P2_I6_M1	0.83
553	P1_I9_M1	0.82
554	UNCLASSIFIED	NA
555	P1_I9_M1	0.89
556	P1_I9_M2	0.96
557	P1_I9_M2	0.96
558	UNCLASSIFIED	NA
559	P2_I6_M5	0.86
560	UNCLASSIFIED	NA
561	P2_I6_M5	0.81
562	P1_I9_M1	0.91
563	P1_I9_M1	0.91
564	P1_I9_M3	0.88
565	UNCLASSIFIED	NA
566	UNCLASSIFIED	NA
567	UNCLASSIFIED	NA
568	UNCLASSIFIED	NA
569	P1_I9_M1	0.89
570	UNCLASSIFIED	NA
571	UNCLASSIFIED	NA
572	P1_I9_M2	0.81
573	UNCLASSIFIED	NA
574	P1_I9_M2	0.88
575	P2_I6_M4	0.88
576	P1_I9_M2	0.9
577	P3_I5_M2	0.83
578	P1_I9_M6	0.97
579	P1_I9_M2	0.89
580	UNCLASSIFIED	NA
581	UNCLASSIFIED	NA
582	P1_I9_M1	0.99
583	UNCLASSIFIED	NA
584	P1_I9_M1	0.94
585	P1_I9_M1	0.94
586	P1_I9_M1	0.89
587	UNCLASSIFIED	NA
588	UNCLASSIFIED	NA
589	P1_I9_M2	0.93
590	P1_I9_M1	0.98
591	P1_I9_M1	0.88
592	UNCLASSIFIED	NA
593	P3_I5_M2	0.81
594	UNCLASSIFIED	NA
595	P1_I9_M1	0.93
596	UNCLASSIFIED	NA
597	P1_I9_M2	0.86
598	P1_I9_M2	0.88
599	UNCLASSIFIED	NA
600	UNCLASSIFIED	NA
601	P1_I9_M1	0.9
602	P1_I9_M3	0.84
603	P2_I6_M2	0.93
604	UNCLASSIFIED	NA
605	P1_I9_M2	0.94
606	UNCLASSIFIED	NA
607	P1_I9_M2	0.85
608	P2_I6_M7	0.87
609	P2_I6_M4	0.81
610	UNCLASSIFIED	NA
611	P2_I6_M1	0.85
612	UNCLASSIFIED	NA
613	P1_I9_M1	0.91
614	P3_I5_M2	0.83
615	P1_I9_M2	0.92
616	P1_I9_M3	0.93
617	P2_I6_M8	0.8
618	P1_I9_M3	0.91
619	P1_I9_M2	0.92
620	UNCLASSIFIED	NA
621	UNCLASSIFIED	NA
622	P2_I6_M6	0.93
623	P1_I9_M2	0.87
624	P2_I6_M3	0.88
625	UNCLASSIFIED	NA
626	P1_I9_M1	0.97
627	P2_I6_M1	0.82
628	UNCLASSIFIED	NA
629	P2_I6_M9	0.87
630	P2_I6_M1	0.88
631	UNCLASSIFIED	NA
632	UNCLASSIFIED	NA
633	P1_I9_M1	0.95
634	P2_I6_M3	0.84
635	UNCLASSIFIED	NA
636	P1_I9_M3	0.94
637	UNCLASSIFIED	NA
638	UNCLASSIFIED	NA
639	UNCLASSIFIED	NA
640	UNCLASSIFIED	NA
641	P2_I6_M4	0.9
642	P2_I6_M1	0.91
643	UNCLASSIFIED	NA
644	P1_I9_M1	0.98
645	P1_I9_M1	0.97
646	P2_I6_M1	0.87
647	P1_I9_M1	0.94
648	UNCLASSIFIED	NA
649	P1_I9_M2	0.9
650	P1_I9_M2	0.92
651	P1_I9_M2	0.92
652	P4_I3_M1	0.83
653	P1_I9_M2	0.8
654	P2_I6_M8	0.9
655	UNCLASSIFIED	NA
656	UNCLASSIFIED	NA
657	P1_I9_M2	0.97
658	UNCLASSIFIED	NA
659	UNCLASSIFIED	NA
660	P1_I9_M1	0.95
661	P2_I6_M6	0.82
662	P1_I9_M1	0.9
663	UNCLASSIFIED	NA
664	P1_I9_M4	0.92
665	P1_I9_M1	0.96
666	P1_I9_M2	0.8
667	P1_I9_M1	0.94
668	P1_I9_M2	0.92
669	UNCLASSIFIED	NA
670	UNCLASSIFIED	NA
671	P3_I5_M2	0.84
672	P1_I9_M2	0.97
673	UNCLASSIFIED	NA
674	UNCLASSIFIED	NA
675	UNCLASSIFIED	NA
676	P2_I6_M2	0.86
677	P2_I6_M2	0.93
678	P2_I6_M1	0.81
679	UNCLASSIFIED	NA
680	P1_I9_M3	0.92
681	P2_I6_M7	0.91
682	P1_I9_M2	0.94
683	P1_I9_M2	0.86
684	P2_I6_M9	0.86
685	P1_I9_M2	0.91
686	P1_I9_M1	0.82
687	P2_I6_M5	0.88
688	UNCLASSIFIED	NA
689	P2_I6_M3	0.93
690	P2_I6_M5	0.82
691	P1_I9_M2	0.89
692	P1_I9_M2	0.98
693	P1_I9_M1	0.92
694	UNCLASSIFIED	NA
695	P2_I6_M4	0.89
696	UNCLASSIFIED	NA
697	P1_I9_M3	0.93
698	P1_I9_M1	0.86
699	UNCLASSIFIED	NA
700	P1_I9_M1	0.95
701	P2_I6_M7	0.89
702	UNCLASSIFIED	NA
703	UNCLASSIFIED	NA
704	P2_I6_M4	0.89
705	P1_I9_M2	0.91
706	P3_I5_M3	0.84
707	P2_I6_M2	0.87
708	P1_I9_M1	0.97
709	UNCLASSIFIED	NA
710	UNCLASSIFIED	NA
711	P1_I9_M2	0.89
712	P2_I6_M2	0.93
713	P3_I5_M1	0.87
714	P2_I6_M4	0.82
715	UNCLASSIFIED	NA
716	P2_I6_M1	0.87
717	UNCLASSIFIED	NA
718	P1_I9_M2	0.98
719	UNCLASSIFIED	NA
720	P2_I6_M7	0.88
721	UNCLASSIFIED	NA
722	P1_I9_M1	0.97
723	P2_I6_M2	0.9
724	P3_I5_M3	0.86
725	UNCLASSIFIED	NA
726	UNCLASSIFIED	NA
727	P2_I6_M4	0.8
728	P1_I9_M1	0.98
729	P1_I9_M1	0.86
730	P1_I9_M2	0.85
731	P1_I9_M4	0.92
732	P1_I9_M1	0.94
733	P1_I9_M1	0.87
734	P1_I9_M1	0.88
735	UNCLASSIFIED	NA
736	P1_I9_M4	0.89
737	P1_I9_M1	0.97
738	UNCLASSIFIED	NA
739	P2_I6_M8	0.91
740	P1_I9_M1	0.97
741	UNCLASSIFIED	NA
742	P1_I9_M6	0.91
743	P1_I9_M6	0.87
744	P1_I9_M2	0.96
745	UNCLASSIFIED	NA
746	P1_I9_M1	0.9
747	P2_I6_M4	0.9
748	UNCLASSIFIED	NA
749	UNCLASSIFIED	NA
750	UNCLASSIFIED	NA
751	UNCLASSIFIED	NA
752	P1_I9_M1	0.93
753	UNCLASSIFIED	NA
754	P1_I9_M1	0.93
755	P1_I9_M1	0.96
756	P1_I9_M1	0.84
757	P1_I9_M1	0.82
758	UNCLASSIFIED	NA
759	UNCLASSIFIED	NA
760	P1_I9_M1	0.85
761	UNCLASSIFIED	NA
762	UNCLASSIFIED	NA
763	UNCLASSIFIED	NA
764	UNCLASSIFIED	NA
765	UNCLASSIFIED	NA
766	P1_I9_M3	0.88
767	P2_I6_M2	0.86
768	P2_I6_M7	0.93
769	P1_I9_M1	0.98
770	P1_I9_M1	0.81
771	P1_I9_M1	0.97
772	P1_I9_M1	0.84
773	UNCLASSIFIED	NA
774	P2_I6_M9	0.88
775	UNCLASSIFIED	NA
776	P2_I6_M6	0.85
777	UNCLASSIFIED	NA
778	UNCLASSIFIED	NA
779	UNCLASSIFIED	NA
780	P1_I9_M5	0.85
781	P1_I9_M1	0.85
782	P1_I9_M2	0.92
783	UNCLASSIFIED	NA
784	UNCLASSIFIED	NA
785	P2_I6_M7	0.86
786	P4_I3_M1	0.81
787	UNCLASSIFIED	NA
788	UNCLASSIFIED	NA
789	P2_I6_M5	0.87
790	P1_I9_M1	0.88
791	UNCLASSIFIED	NA
792	UNCLASSIFIED	NA
793	UNCLASSIFIED	NA
794	P1_I9_M1	0.95
795	UNCLASSIFIED	NA
796	UNCLASSIFIED	NA
797	UNCLASSIFIED	NA
798	UNCLASSIFIED	NA
799	UNCLASSIFIED	NA
800	P1_I9_M2	0.88
801	UNCLASSIFIED	NA
802	P2_I6_M1	0.84
803	P1_I9_M1	0.97
804	P2_I6_M9	0.83
805	P2_I6_M4	0.83
806	UNCLASSIFIED	NA
807	P1_I9_M2	0.86
808	UNCLASSIFIED	NA
809	UNCLASSIFIED	NA
810	P1_I9_M3	0.88
811	UNCLASSIFIED	NA
812	P1_I9_M1	0.84
813	UNCLASSIFIED	NA
814	UNCLASSIFIED	NA
815	UNCLASSIFIED	NA
816	P1_I9_M1	0.87
817	P1_I9_M1	0.81
818	P2_I6_M3	0.82
819	UNCLASSIFIED	NA
820	P1_I9_M1	0.98
821	P1_I9_M1	0.99
822	UNCLASSIFIED	NA
823	P1_I9_M2	0.91
824	P2_I6_M10	0.88
825	UNCLASSIFIED	NA
826	UNCLASSIFIED	NA
827	P1_I9_M1	0.81
828	UNCLASSIFIED	NA
829	P1_I9_M1	0.97
830	UNCLASSIFIED	NA
831	UNCLASSIFIED	NA
832	P4_I3_M2	0.82
833	P1_I9_M1	0.88
834	UNCLASSIFIED	NA
835	P2_I6_M6	0.83
836	UNCLASSIFIED	NA
837	UNCLASSIFIED	NA
838	UNCLASSIFIED	NA
